noteId	tweetId	classification	createdAtMillis	noteAuthorParticipantId	summary	believable	harmful	validationDifficulty
1001	5001	NOT_MISLEADING	1640000000000	user123	This claim is accurate according to official sources.	BELIEVABLE_BY_MOST	NOT_HARMFUL	EASY
1002	5002	MISINFORMED_OR_POTENTIALLY_MISLEADING	1640100000000	user456	This statement lacks context and may mislead readers.	BELIEVABLE_BY_FEW	CONSIDERABLE_HARM	MEDIUM
1003	5003	NOT_MISLEADING	1640200000000	user789	The information provided is correct and well-sourced.	BELIEVABLE_BY_MOST	NOT_HARMFUL	EASY
1004	5004	MISINFORMED_OR_POTENTIALLY_MISLEADING	1640300000000	user321	This claim contradicts scientific consensus.	BELIEVABLE_BY_FEW	CONSIDERABLE_HARM	DIFFICULT
1005	5005	NOT_MISLEADING	1640400000000	user654	Factual statement supported by multiple sources.	BELIEVABLE_BY_MOST	NOT_HARMFUL	EASY
1006	5006	MISINFORMED_OR_POTENTIALLY_MISLEADING	1640500000000	user987	Out of context quote that misrepresents the original statement.	BELIEVABLE_BY_SOME	LITTLE_HARM	MEDIUM
1007	5007	NOT_MISLEADING	1640600000000	user147	Accurate statistical information from official data.	BELIEVABLE_BY_MOST	NOT_HARMFUL	EASY
1008	5008	MISINFORMED_OR_POTENTIALLY_MISLEADING	1640700000000	user258	Unverified claim that needs additional sources.	NOT_BELIEVABLE	LITTLE_HARM	DIFFICULT
1009	5009	NOT_MISLEADING	1640800000000	user369	Clear and accurate explanation of the topic.	BELIEVABLE_BY_MOST	NOT_HARMFUL	EASY
1010	5010	MISINFORMED_OR_POTENTIALLY_MISLEADING	1640900000000	user741	Misleading comparison that ignores important factors.	BELIEVABLE_BY_SOME	CONSIDERABLE_HARM	MEDIUM
